Time,AmountOfErrors
588,1,error_94
865,2,error_94-error_15
1088,3,error_94-error_15-error_46
1830,4,error_94-error_38-error_15-error_46
3214,5,error_94-error_38-error_15-error_34-error_46
3355,6,error_88-error_94-error_38-error_15-error_34-error_46
3363,7,error_88-error_94-error_38-error_25-error_15-error_34-error_46
3695,8,error_88-error_94-error_38-error_25-error_15-error_34-error_89-error_46
4120,9,error_88-error_94-error_38-error_25-error_15-error_34-error_89-error_12-error_46
4248,10,error_88-error_94-error_38-error_49-error_25-error_15-error_34-error_89-error_12-error_46
4398,11,error_87-error_88-error_94-error_38-error_49-error_25-error_15-error_34-error_89-error_12-error_46
6016,12,error_87-error_88-error_94-error_95-error_38-error_49-error_25-error_15-error_34-error_89-error_12-error_46
7657,13,error_87-error_88-error_94-error_95-error_38-error_49-error_25-error_15-error_34-error_89-error_12-error_46-error_24
8146,14,error_87-error_88-error_94-error_95-error_38-error_49-error_25-error_15-error_34-error_89-error_12-error_46-error_24-error_80
9025,15,error_87-error_88-error_94-error_95-error_38-error_49-error_25-error_15-error_34-error_89-error_12-error_46-error_24-error_80-error_9
9285,16,error_87-error_88-error_94-error_95-error_38-error_49-error_25-error_15-error_34-error_89-error_12-error_46-error_24-error_80-error_8-error_9
10237,17,error_87-error_88-error_44-error_94-error_95-error_38-error_49-error_25-error_15-error_34-error_89-error_12-error_46-error_24-error_80-error_8-error_9
10369,18,error_87-error_88-error_44-error_94-error_95-error_38-error_49-error_25-error_15-error_34-error_89-error_12-error_46-error_24-error_7-error_80-error_8-error_9
12984,19,error_87-error_88-error_44-error_94-error_95-error_60-error_38-error_49-error_25-error_15-error_34-error_89-error_12-error_46-error_24-error_7-error_80-error_8-error_9
13538,20,error_87-error_88-error_44-error_94-error_95-error_60-error_38-error_49-error_25-error_15-error_34-error_89-error_12-error_46-error_24-error_35-error_7-error_80-error_8-error_9
14390,21,error_87-error_88-error_44-error_74-error_94-error_95-error_60-error_38-error_49-error_25-error_15-error_34-error_89-error_12-error_46-error_24-error_35-error_7-error_80-error_8-error_9
14659,22,error_87-error_88-error_44-error_74-error_94-error_95-error_84-error_60-error_38-error_49-error_25-error_15-error_34-error_89-error_12-error_46-error_24-error_35-error_7-error_80-error_8-error_9
15216,23,error_87-error_54-error_88-error_44-error_74-error_94-error_95-error_84-error_60-error_38-error_49-error_25-error_15-error_34-error_89-error_12-error_46-error_24-error_35-error_7-error_80-error_8-error_9
15615,24,error_87-error_54-error_88-error_44-error_74-error_94-error_72-error_95-error_84-error_60-error_38-error_49-error_25-error_15-error_34-error_89-error_12-error_46-error_24-error_35-error_7-error_80-error_8-error_9
16281,25,error_54-error_74-error_94-error_72-error_95-error_38-error_16-error_15-error_34-error_12-error_35-error_7-error_8-error_9-error_87-error_88-error_44-error_84-error_60-error_49-error_25-error_89-error_46-error_24-error_80
17139,26,error_54-error_74-error_94-error_72-error_95-error_38-error_16-error_15-error_34-error_12-error_35-error_7-error_8-error_9-error_87-error_21-error_88-error_44-error_84-error_60-error_49-error_25-error_89-error_46-error_24-error_80
17146,27,error_54-error_74-error_94-error_72-error_95-error_93-error_38-error_16-error_15-error_34-error_12-error_35-error_7-error_8-error_9-error_87-error_21-error_88-error_44-error_84-error_60-error_49-error_25-error_89-error_46-error_24-error_80
17445,28,error_54-error_74-error_94-error_72-error_95-error_93-error_38-error_16-error_15-error_34-error_12-error_35-error_7-error_8-error_9-error_87-error_21-error_88-error_44-error_20-error_84-error_60-error_49-error_25-error_89-error_46-error_24-error_80
18009,29,error_54-error_74-error_94-error_72-error_95-error_93-error_38-error_16-error_15-error_34-error_12-error_35-error_7-error_90-error_8-error_9-error_87-error_21-error_88-error_44-error_20-error_84-error_60-error_49-error_25-error_89-error_46-error_24-error_80
18954,30,error_54-error_33-error_74-error_94-error_72-error_95-error_93-error_38-error_16-error_15-error_34-error_12-error_35-error_7-error_90-error_8-error_9-error_87-error_21-error_88-error_44-error_20-error_84-error_60-error_49-error_25-error_89-error_46-error_24-error_80
19104,31,error_54-error_33-error_74-error_94-error_72-error_95-error_93-error_38-error_16-error_15-error_34-error_12-error_35-error_7-error_90-error_8-error_9-error_87-error_21-error_88-error_44-error_20-error_84-error_60-error_82-error_49-error_25-error_89-error_46-error_24-error_80
19883,32,error_54-error_33-error_74-error_94-error_72-error_95-error_93-error_38-error_16-error_15-error_34-error_12-error_35-error_7-error_90-error_8-error_9-error_87-error_21-error_88-error_44-error_20-error_84-error_4-error_60-error_82-error_49-error_25-error_89-error_46-error_24-error_80
22673,33,error_54-error_76-error_33-error_74-error_94-error_72-error_95-error_93-error_38-error_16-error_15-error_34-error_12-error_35-error_7-error_90-error_8-error_9-error_87-error_21-error_88-error_44-error_20-error_84-error_4-error_60-error_82-error_49-error_25-error_89-error_46-error_24-error_80
23626,34,error_54-error_76-error_33-error_74-error_94-error_72-error_95-error_93-error_38-error_16-error_15-error_34-error_12-error_78-error_35-error_7-error_90-error_8-error_9-error_87-error_21-error_88-error_44-error_20-error_84-error_4-error_60-error_82-error_49-error_25-error_89-error_46-error_24-error_80
23848,35,error_54-error_76-error_33-error_74-error_94-error_72-error_95-error_93-error_38-error_16-error_15-error_34-error_12-error_78-error_35-error_7-error_90-error_8-error_9-error_87-error_21-error_88-error_44-error_20-error_64-error_84-error_4-error_60-error_82-error_49-error_25-error_89-error_46-error_24-error_80
26967,36,error_54-error_76-error_33-error_74-error_94-error_72-error_95-error_93-error_38-error_16-error_15-error_34-error_12-error_78-error_35-error_7-error_90-error_8-error_9-error_87-error_21-error_88-error_44-error_20-error_64-error_84-error_4-error_60-error_82-error_49-error_28-error_25-error_89-error_46-error_24-error_80
