Label,value
Total Branch Coverage,334
Trace with Highest Branch Coverage,[J-E-H-G-E-H-D-G-G-G-F-D-C-F-D-D-C-J-D-D-R]
HBC,212
Trace with Lowest Branch Distance,[J-J-E-I-F-E-J-E-J-F-J-F-D-D-E-J-J-J-B-I-R, J-J-J-J-J-I-E-E-D-F-J-F-J-B-E-D-I-J-F-E-R, J-F-J-J-I-F-D-J-I-J-J-D-E-F-B-E-J-E-J-E-R, J-I-J-J-E-J-D-F-F-J-E-B-J-E-E-D-J-F-J-I-R]
LBC,966.1347
Error size,22
